Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"06/22/1882   PT1  CN2  AA  14 CN2 12- John Peters        64(1)4(2)3/PTP/EOG           6-4*-4*-3*       [2,3]Chuck Fulmer ss,Bid McPhee 2b,Henry Luff 1b"
"07/26/1882   SL4  BL2  AA  1  SL4 123 Monk Cline         K+E2+2(3)25(2)54(1)/TP       2*-5*-4*         [3]  Sleeper Sullivan c,Jack Gleason 3b,Bill Smiley 2b"
"09/13/1882   LS2  CN2  AA  8  CN2 12- Dan Sullivan       K+E2+25(2)54(1)43(B)/TP      2-5*-4*-3*       [3]  Pop Snyder c,Hick Carpenter 3b,Bid McPhee 2b,Ecky Stearns 1b"
"06/02/1883   BFN  BSN  NL  6  BFN -23 Sam Wise           2XH(6)3XH(62)BX2(24)/GTP     6*-2*-4*              Davy Force ss,Jim O'Rourke c,Hardy Richardson 2b"
"08/11/1883   PRO  BSN  NL  6  BSN 12- Arthur Irwin       12(B)23(1)34(2)/PTP          1-2*-3*-4*            Jim Whitney p,Mike Hines c,Charlie Buffinton 1b,Jack Burdock 2b"
"05/23/1884   PT1  PH4  AA  6  PH4 12- Bill White         3(B)3(1)34(2)/LTP            3*-3*-4*              Harry Stovey 1b,Cub Stricker 2b"
"06/04/1884   PHI  PRO  NL  4  PHI -23 Joe Start          6(B)65(3)54(2)/LTP           6*-5*-4*              Bill McClellan ss,Joe Mulvey 3b,Ed Andrews 2b"
"06/07/1884   CN2  BR3  AA  3  CN2 12- Bill Greenwood     4(B)46(2)63(1)/LTP           4*-6*-3*              Bid McPhee 2b,Pop Corkhill ss,John Reilly 1b"
"06/07/1884   PRO  BSN  NL  5  BSN 12- Sandy Nava         8(B)83(1)2X3(35)/FTP         8*-3*-5*              Jim Manning cf,John Morrill 1b,Ezra Sutton 3b"
"06/19/1884   KCU  CHU  UA  6  CHU 123 Taylor Shafer      4(B)1X2(4)3XH(42)/FTP        4*-4*-2*              Frank McLaughlin 2b,Emil Gross c"
"06/30/1884   BSN  DTN  NL  1  DTN 12- John Morrill       5(2)3/TP.1X3(35)             5*-3*-5*              Joe Farrell 3b,Milt Scott 1b,Joe Farrell 3b"
"07/12/1884   BR3  SL4  AA  9  SL4 12- Sam Kimber         K+E2+25(2)53(B)1X2(34)/TP    2-5*-3*-4*       [3]  Pat Deasley c,Arlie Latham 3b,Charlie Comiskey 1b,Joe Quest 2b"
"07/28/1884   BR3  PH4  AA  9  PH4 123 Bill Greenwood     K/TP.3XH(232);2X3(2465)      2*-3-2*-4-6-5*        Jack O'Brien c,Harry Stovey 1b,Jack O'Brien c,Cub Stricker 2b,Sadie Houck ss,Fred Corey 3b"
"07/31/1884   PRO  NY1  NL  6  NY1 ---                                                 7*-4*-2*              Danny Richardson lf,Monte Ward 2b,Thomas Loughran c"
"08/20/1884   BR3  NY4  AA  4  BR3 123 Candy Nelson       6(B)64(2)43(1)/LTP           6*-4*-3*              Billy Geer ss,Bill Greenwood 2b,Jimmy Knowles 1b"
"05/13/1885   BR3  PT1  AA  8  BR3 123 Hank O'Day         K+E2+2(3)25(2)53(B)/TP       2*-5*-3*         [3]  Jackie(JJ) Hayes c,Bill McClellan 3b,Bill Phillips 1b"
"05/20/1885   BL2  CN2  AA  3  CN2 123 Mike Muldoon       8/TP.2X3(85);3XH(52)         8*-5*-2*              Jim Clinton cf,Hick Carpenter 3b,Phil Powers c"
