Game Date DH Vis  Hom  Lg Inn By  Occ Batter            Scoring                          Play                 Note   Players
"07/30/1897   LS3  SLN  NL  1  SLN 12- Perry Werden       6(B)64(2)43(1)/FTP           6*-4*-3*              Monte Cross ss,John Houseman 2b,Mike Grady 1b"
"07/20/1898   PIT  NY1  NL  8  NY1 12- Jesse Tannehill    2(B)26(2)1X2(6)/PTP          2*-6*-6*              Mike Grady c,George Davis ss"
"07/23/1898   CHN  CL4  NL  6  CHN 1-3 Jesse Burkett      7(B)75(3)1X2(54)/FTP         7*-5*-4*              Jimmy Ryan lf,Barry McCormick 3b,Jim Connor 2b"
"08/05/1898 1 BLN  CHN  NL  7  CHN 123 Art Ball           6(B)64(2)43(1)/LTP           6*-4*-3*              Bill Dahlen ss,Jim Connor 2b,Bill Everitt 1b"
"04/24/1899   BLN  NY1  NL  9  BLN 12- Tom O'Brien        6(B)64(2)43(1)/LTP           6*-4*-3*              George Magoon ss,John O'Brien 2b,Candy LaChance 1b"
"06/28/1899   BLN  SLN  NL  5  SLN -23 Steve Brodie       6(B)6(2)65(3)/LTP            6*-6*-5*              Bobby Wallace ss,Lave Cross 3b"
"07/22/1899   BRO  LS3  NL  7  LS3 12- Fielder Jones      3(B)3(1)36(2)/LTP            3*-3*-6*              Mike Kelley 1b,Billy Clingman ss"
"08/14/1899   CIN  BSN  NL  1  CIN 123 Jimmy Collins      5(B)5(3)54(2)/LTP            5*-5*-4*              Harry Steinfeldt 3b,Bid McPhee 2b"
"08/18/1899   CL4  BRO  NL  2  CL4 12- Doc Casey          4(B)43(1)36(2)/LTP           4*-3*-6*              Joe Quinn 2b,Tommy Tucker 1b,Harry Lochhead ss"
"10/10/1899   NY1  BRO  NL  3  NY1 123 Tom Daly           6(B)64(2)43(1)/LTP           6*-4*-3*              George Davis ss,Kid Gleason 2b,Jack Doyle 1b"
"04/25/1900   PIT  CIN  NL  3  CIN 123 Tom O'Brien       6(B)64(2)43(1)/LTP               6*-4*-3*                    Charlie Irwin ss,Harry Steinfeldt 2b,Jake Beckley 1b"
"05/22/1901 2 SLN  BRO  NL  2  BRO 123 Jack Ryan         6(B)63(1)2XH(352)/LTP            6*-3*-5-2*                  Bill Dahlen ss,Joe Kelley 1b,Frank Gatins 3b,Duke Farrell c"
"06/14/1901   NY1  CHN  NL  3  CHN 1-3 Kip Selbach       3XH(52)BX2(2434)1XH(42)/GTP      5-2*-4-3-4*-2*              Fred Raymer 3b,Mike Kahoe c,Cupid Childs 2b,Charlie Dexter 1b,Cupid Childs 2b,Mike Kahoe c"
"07/14/1901   MLA  CHA  AL  5  MLA 123 Frank Isbell      3(B)3(1)345(3)/LTP               3*-3*-4-5*                  Jiggs Donahue 1b,Billy Gilbert 2b,Bill Friel 3b"
"08/07/1901 1 BOS  BLA  AL  4  BOS 1-3 Roger Bresnahan   3XH(152)1X3(26)BX2(61)/GTP       1-5-2*-6*-1*                Ted Lewis p,Jimmy Collins 3b,Ossee Schreckengost c,Freddy Parent ss,Ted Lewis p"
"08/08/1901 1 BRO  NY1  NL  6  NY1 12- Deacon McGuire    1(B)16(2)63(1)/LTP               1*-6*-3*                    Luther Taylor p,George Davis ss,John Ganzel 1b"
"08/31/1901   CIN  SLN  NL  4  SLN 12- George Magoon     B(1)1(13)2(36)/LTP               1*-3*-6*                    Ed Murphy p,Pop Schriver 1b,Bobby Wallace ss"
"09/05/1901 2 PIT  NY1  NL  2  PIT 123 Larry Hesterfer   6(B)2x3(6)1x2(63)/LTP            6*-6*-3*                    Honus Wagner ss,Kitty Bransfield 1b"
"09/26/1901   CLE  BLA  AL  9  BLA 12- Harry McNeal      4(B)4(1)46(2)/FTP                4*-4*-6*                    Jimmy Williams 2b,Bill Keister ss"
"06/06/1902   PIT  NY1  NL  9  PIT 12- Jack Doyle        4(B)1X2(4)46(2)/LTP              4*-4*-6*                    Claude Ritchey 2b,Honus Wagner ss"
"06/24/1902   PHA  BLA  AL  7  BLA 12- Topsy Hartsel     7(B)74(2)43(1)/LTP               7*-4*-3*                    Kip Selbach lf,Jimmy Williams 2b,Dan McGann 1b"
"06/26/1902   NY1  PHI  NL  1  NY1 123 Fred Jacklitsch   64(1)43(B).3-H;2XH(32)/GTP       6-4*-3*-2*                  Joe Bean ss,Heinie Smith 2b,Hal O'Hagan 1b,George Yeager c"
"07/12/1902   BLA  WS1  AL  3  BLA 12- Jack Doyle        4(B)46(2)63(1)/LTP               4*-6*-3*                    Jimmy Williams 2b,Billy Gilbert ss,Joe Kelley 1b"
"07/15/1902   NY1  CIN  NL  1  NY1 12- Sam Crawford      1(B)14(2)43(1)/LTP               1*-4*-3*                    Christy Mathewson p,Heinie Smith 2b,Hal O'Hagan 1b"
"08/15/1902 1 SLA  WS1  AL  1  SLA 123 Bill Keister      1(B)15(3)53(1)/LTP               1*-5*-3*                    Red Donahue p,Barry McCormick 3b,John Anderson 1b"
"05/05/1903   PHA  NYA  AL  9  NYA 12- Harry Davis       3(B)3(1)36(2)/LTP                3*-3*-6*                    John Ganzel 1b,Herman Long ss"
"05/19/1903   CIN  BRO  NL  5  CIN 12- John Dobbs        3(B)3(1)36(2)/LTP                3*-3*-6*                    Jake Beckley 1b,Tommy Corcoran ss"
"06/11/1903   NY1  CIN  NL  9  CIN 12- Charlie Babb      5(B)53(1)34(2)/PTP               5*-3*-4*                    George Magoon 3b,Joe Kelley 1b,Jack Morrissey 2b"
"07/01/1903   SLN  NY1  NL  6  NY1 123 Homer Smoot       8(B)3XH(82)1X2(26)/FTP           8*-2*-6*                    Roger Bresnahan cf,John Warner c,George Davis ss"
"08/18/1903   PHA  SLA  AL  1  SLA 12- Lave Cross        1(B)16(2)63(1)/LTP               1*-6*-3*                    Clarence Wright p,Bobby Wallace ss,John Anderson 1b"
"08/23/1903 2 BOS  SLA  AL  7  BOS 12- Willie Sudhoff    4(B)46(2)63(1)/LTP               4*-6*-3*                    Hobe Ferris 2b,Freddy Parent ss,Candy LaChance 1b"
"09/18/1903   NY1  CIN  NL  6  NY1 1-3 Cozy Dolan        4(B)46(1)3XH(65)/LTP             4*-6*-5*                    Billy Gilbert 2b,Charlie Babb ss,Billy Lauder 3b"
"05/03/1904   PIT  CHN  NL  1  PIT 12- Frank Chance      3(B)3(1)36(2)/LTP                3*-3*-6*                    Kitty Bransfield 1b,Honus Wagner ss"
"04/15/1905   PIT  CIN  NL  6  PIT 12- Bob Ewing         3(B)3(1)374(2)/PTP               3*-3*-7-4*                  Bill Clancy 1b,Fred Clarke lf,Claude Ritchey 2b"
"04/24/1905   WS1  NYA  AL  3  WS1 12- Kid Elberfeld     1(B)13(1)36(2)/PTP               1*-3*-6*                    Casey Patten p,Jake Stahl 1b,Joe Cassidy ss"
"06/01/1905   SLN  CIN  NL  6  SLN 12- Cy Seymour        3(B)34(2).RI.41(1)/FTP           3*-4*-1*                    Jake Beckley 1b,Harry Arndt 2b,Jake Thielman p"
"07/11/1905   CIN  BSN  NL  4  BSN 123 Harry Steinfeldt  52(3)23(B)2XH(32)/GTP            5-2*-3*-2*                  Harry Wolverton 3b,Pat Moran c,Fred Tenney 1b,Pat Moran c"
"07/14/1905   CIN  BSN  NL  9  CIN 1-3 Ed Abbaticchio    1X2(64)3XH(425)BX2(54)/GTP       6-4*-2-5*-4*                Tommy Corcoran ss,Miller Huggins 2b,Admiral Schlei c,Harry Steinfeldt 3b,Miller Huggins 2b"
"07/26/1905   CIN  NY1  NL  6  NY1 12- Cy Seymour        1X2(64)43(B)2XH(32)/GTP          6-4*-3*-2*                  Bill Dahlen ss,Billy Gilbert 2b,Frank Bowerman 1b,Roger Bresnahan c"
"08/21/1905   CHN  BRO  NL  1  CHN 12- Harry Lumley      1(B)16(2)1X2(6)/PTP              1*-6*-6*                    Jake Weimer p,Joe Tinker ss"
"10/08/1905 1 PIT  CIN  NL  7  CIN 123 Tommy Leach       8(B)3XH(82)2X3(256)/FTP          8*-2*-5-6*                  Cy Seymour cf,Admiral Schlei c,Bill Hinchman 3b,Tommy Corcoran ss"
"07/16/1906   BRO  CIN  NL  7  BRO 123 Joe Kelley        1X2(46)63(B).3-H.2XH(32)/GTP     4-6*-3*-2*                  Whitey Alperman 2b,Phil Lewis ss,John Hummel 1b,Bill Bergen c"
"07/28/1906   NYA  CLE  AL  6  NYA 12- Otto Hess         5(B)53(1)36(2)/PTP               5*-3*-6*                    Frank LaPorte 3b,George Moriarty 1b,Kid Elberfeld ss"
"08/21/1906 1 CLE  WS1  AL  1  CLE 123 Lave Cross        6(B)6(2)63(1)/LTP                6*-6*-3*                    Terry Turner ss,Claude Rossman 1b"
"09/22/1906   PHA  SLA  AL  7  PHA 12- Bobby Wallace     4(B)46(2)63(1)/LTP               4*-6*-3*                    Dave Shean 2b,Simon Nicholls ss,Harry Davis 1b"
"05/04/1907   CHA  DET  AL  4  CHA -23 Boss Schmidt      3XH(62)BX2(24)2XH(416)/GTP       6-2*-4*-1-6*                George Davis ss,Billy Sullivan(Sr) c,George Rohe 2b,Ed Walsh p,George Davis ss"
"07/27/1907 2 PHI  PIT  NL  4  PIT 12- Ernie Courtney    3(B)36(2)63(1)/LTP               3*-6*-3*                    Jim Nealon 1b,Honus Wagner ss,Jim Nealon 1b"
"09/23/1907   PHI  CHN  NL  5  CHN 12- Red Dooin         3(B)3(1)36(2)/LTP                3*-3*-6*                    Del Howard 1b,Joe Tinker ss"
"04/28/1908   WS1  PHA  AL  1  PHA 12- Jim Delahanty     3(B)34(1)46(2)/LTP               3*-4*-6*                    Harry Davis 1b,Danny Murphy 2b,Simon Nicholls ss"
"06/06/1908   BOS  DET  AL  3  DET 12- Gavvy Cravath     5(B)56(2)63(1)/LTP               5*-6*-3*                    Germany Schaefer 3b,Red Killefer ss,Claude Rossman 1b"
"06/07/1908   BOS  DET  AL  1  DET 123 Heinie Wagner     1X2(4)43(B).3-H.2XH(32)/GTP      4*-3*-2*                    Germany Schaefer 2b,Sam Crawford 1b,Ira Thomas c"
"07/10/1908   BRO  SLN  NL  1  SLN 12- John Hummel       9(B)93(1)2X3(36)/LTP             9*-3*-6*                    Al Shaw rf,Ed Konetchy 1b,Patsy O'Rourke ss"
"07/31/1908   PIT  BRO  NL  3  PIT 12- Al Burch          5(B)53(1)34(2)/LTP               5*-3*-4*                    Tommy Leach 3b,Harry Swacina 1b,Ed Abbaticchio 2b"
"09/03/1908 2 BRO  PHI  NL  8  BRO 12- Red Dooin         1(B)14(2)43(1)/LTP               1*-4*-3*                    Jim Pastorius p,Whitey Alperman 2b,Tim Jordan 1b"
"09/05/1908   NY1  PHI  NL  2  PHI 12- Art Devlin        1X2(64)2XH(42562)BX3(25)/GTP     6-4*-2-5-6-2*-5*            Mickey Doolan ss,Otto Knabe 2b,Red Dooin c,Eddie Grant 3b,Mickey Doolan ss,Red Dooin c,Eddie Grant 3b"
"07/11/1909   BOS  CHA  AL  4  CHA 12- Doc Gessler       6(B)6(2)63(1)/LTP                6*-6*-3*                    Lee Tannehill ss,Frank Isbell 1b"
07/19/1909 1 BOS  CLE  AL  2  CLE 12- Amby McConnell    6(B)6(2)1X2(6)/LTP               6*-6*-6*               [1]  Neal Ball ss
"07/30/1909   CLE  PHA  AL  4  PHA 1-3 George Stovall    4(B)45(3)53(1)/LTP               4*-5*-3*                    Eddie Collins 2b,Frank Baker 3b,Harry Davis 1b"
"09/04/1909   BRO  PHI  NL  4  PHI 1-3 George Bell       1X2(64)43(B)3XH(32)/GTP          6-4*-3*-2*                  Mickey Doolan ss,Joe Ward 2b,Kitty Bransfield 1b,Red Dooin c"
"04/25/1910   BRO  NY1  NL  6  NY1 12- John Hummel       1X2(64)3(B)2XH(352)/GTP          6-4*-3*-5-2*                Al Bridwell ss,Larry Doyle 2b,Fred Merkle 1b,Art Devlin 3b,Chief Meyers c"
"04/28/1910   BRO  BSN  NL  7  BRO 123 Peaches Graham    9(B)3(1)3XH(3526)/LTP            9*-3*-5-2-6*                Al Burch rf,Jake Daubert 1b,Pryor McElween 3b,Bill Bergen c,Tony Smith ss"
"05/04/1910   DET  CHA  AL  2  DET 12- Billy Purtell     3(B)3(1)6(2)/LTP                 3*-3*-6*                    Hack Simmons 1b,Donie Bush ss"
"06/18/1910   BOS  DET  AL  4  DET 12- Duffy Lewis       8(B)4(2)1X2(4)/LTP               8*-4*-4*                    Ty Cobb cf,Jim Delahanty 2b"
"07/20/1910   NY1  CIN  NL  8  CIN -23 Red Murray        5(B)5(3)4(2)/LTP                 5*-5*-4*                    Tom Downey 3b,Dick Egan 2b"
"07/30/1910   CHN  SLN  NL  5  SLN 12- Frank Chance      6(B)6(2)3(1)/LTP                 6*-6*-3*                    Arnold Hauser ss,Ed Konetchy 1b"
"08/27/1910   NY1  CHN  NL  3  CHN -23 Art Devlin        14(B)4(2)5(3)/LTP                1-4*-4*-5*                  Lew Richie p,Johnny Evers 2b,Heinie Zimmerman 3b"
"09/02/1910   PIT  CIN  NL  6  CIN 12- George Gibson     3(B)4(1)6(2)/FTP                 3*-4*-6*                    Dick Hoblitzell 1b,Dick Egan 2b,Tommy McMillan ss"
"09/18/1910   BOS  CHA  AL  2  CHA 12- Billy Purtell     4(B)6(2)3(1)/LTP                 4*-6*-3*                    Freddy Parent 2b,Rollie Zeider ss,Chick Gandil 1b"
"10/02/1910   CHN  CIN  NL  3  CHN 123 Ward Miller       7(B)3XH(72)1X2(23)/FTP           7*-2*-3*                    Jimmy Sheckard lf,Johnny Kling c,Jimmy Archer 1b"
"04/24/1911   SLA  DET  AL  8  DET 12- Frank LaPorte     5(B)6(2)1X2(6)/FTP               5*-6*-6*                    George Moriarty 3b,Donie Bush ss"
"05/06/1911   BOS  NYA  AL  9  NYA 12- Bill Carrigan     6(B)4(2)3(1)/LTP                 6*-4*-3*                    Roxey Roach ss,Earle Gardner 2b,Hal Chase 1b"
"05/20/1911   PHA  DET  AL  6  DET 12- Harry Davis       B(3)1(3)2(36)/LTP                3*-3*-6*                    Jack Ness 1b,Donie Bush ss"
"07/16/1911   PHA  SLA  AL  4  SLA 12- Amos Strunk       B(5)2(56)1(63)/PTP               5*-6*-3*                    Jimmy Austin 3b,Bobby Wallace ss,Dode Criss 1b"
"09/09/1911   CHA  DET  AL  4  DET 12- Lee Tannehill     7(B)6(2)3(1)/FTP                 7*-6*-3*                    Delos Drake lf,Donie Bush ss,Del Gainer 1b"
"10/04/1911   NY1  BRO  NL  9  BRO 12- Red Murray        4(B)3(1)6(2)/PTP                 4*-3*-6*                    Dolly Stark 2b,Jake Daubert 1b,Bert Tooley ss"
"10/09/1911 1 BSN  PHI  NL  5  BSN 12- Otto Knabe        6(B)4(2)3(1)/LTP                 6*-4*-3*                    Scotty Ingerton ss,Bill Sweeney 2b,Ben Houser 1b"
"04/16/1912   DET  CHA  AL  7  DET 12- Matty McIntyre    4(B)6(2)3(1)/LTP                 4*-6*-3*                    Charley O'Leary 2b,Donie Bush ss,Del Gainer 1b"
"06/03/1912   CIN  BRO  NL  8  BRO 123 Mike Mitchell     3XH(62)2XH(252)1X2(24)/GTP       6-2*-5-2*-4*                Bert Tooley ss,Otto Miller c,Red Smith 3b,Otto Miller c,John Hummel 2b"
"08/11/1912 2 PHA  CHA  AL  7  CHA 12- Jack Coombs       3(B)6(2)4(1)/FTP                 3*-6*-4*                    Shano Collins 1b,Ernie Johnson ss,Morrie Rath 2b"
"04/23/1913   PIT  SLN  NL  3  PIT 123 Mike Mowrey       12(3)3(B)2XH(32)/GTP             1-2*-3*-2*                  Claude Hendrix p,Billy Kelly c,Dots Miller 1b,Billy Kelly c"
"05/16/1913   PHA  CLE  AL  7  PHA -23 Ivy Olson         FC6/GTP.3XH(62516);BX2(64);2X3(4567) 6-2-5-1-6*-4*-5-6-7*    Jack Barry ss,Ira Thomas c,Frank Baker 3b,Byron Houck p,Jack Barry ss,Eddie Collins 2b,Frank Baker 3b,Jack Barry ss,Rube Oldring lf"
"06/12/1913   BSN  CIN  NL  9  BSN 12- Marty Berghammer  6(B)6(2)3(1)/LTP                 6*-6*-3*                    Rabbit Maranville ss,Hap Myers 1b"
"06/17/1913   CLE  WS1  AL  4  WS1 12- Steve O'Neill     3(B)3(1)6(2)/LTP                 3*-3*-6*                    Chick Gandil 1b,George McBride ss"
"08/02/1913   BSN  SLN  NL  7  SLN 12- Wilson Collins    6(B)6(2)3(1)/LTP                 6*-6*-3*                    Possum Whitted ss,Ed Konetchy 1b"
"04/24/1914   PHI  NY1  NL  5  NY1 12- Fred Luderus      43(B)1X2(36)2XH(62)/GTP          4-3*-6*-2*                  Larry Doyle 2b,Fred Merkle 1b,Art Fletcher ss,Larry McLean c"
"04/29/1914   WS1  PHA  AL  6  WS1 -23 Jack Barry        3(B)5(3)6(2)/PTP                 3*-5*-6*                    Chick Gandil 1b,Eddie Foster 3b,George McBride ss"
"05/01/1914   SLN  CHN  NL  2  CHN 123 Frank Snyder      8(B)3XH,1X2(856)2XH(62)/FTP      8*-5-6*-2*                  Jimmy Johnston cf,Tommy Leach 3b,Heinie Zimmerman ss,Roger Bresnahan c"
"05/05/1914   NYA  WS1  AL  3  NYA 123 Ray Morgan        52(3)3(B)1X3(35)/GTP             5-2*-3*-5*                  Fritz Maisel 3b,Jeff Sweeney c,Harry Williams 1b,Fritz Maisel 3b"
"05/06/1914   SLA  CLE  AL  1  CLE 1-3 Tilly Walker      54(1)43(B)3XH(32)/GTP            5-4*-3*-2*                  Terry Turner 3b,Nap Lajoie 2b,Doc Johnston 1b,Fred Carisch c"
"05/08/1914   PHA  WS1  AL  9  WS1 123 Jack Lapp         2(3)3(B)2XH(32)/GTP              2*-3*-2*                    John Henry c,Chick Gandil 1b,John Henry c"
"05/20/1914   KCF  BLF  FL  7  KCF 123 Guy Zinn          L3.1(3)2(36)/LTP                 3*-3*-6*                    George Stovall 1b,Pep Goodwin ss"
"07/28/1914   PHA  DET  AL  4  PHA 1-3 Bobby Veach       B(8)1X2(8143)3XH(32)/FTP         8*-1-4-3*-2*                Jimmy Walsh cf,Joe Bush p,Eddie Collins 2b,Stuffy McInnis 1b,Wally Schang c"
"08/22/1914   NY1  CIN  NL  6  CIN 1-3 Eddie Grant       8(B)3XH(82)3(1)/FTP              8*-2*-3*                    Herbie Moran cf,Mike Gonzalez c,Bill Kellogg 1b"
"09/14/1914   DET  CLE  AL  3  CLE 1-3 Bobby Veach       8(B)1X3(824254)3XH(42)/FTP       8*-2-4-2-5-4*-2*            Nemo Leibold cf,Steve O'Neill c,Ray Chapman 2b,Steve O'Neill c,Terry Turner 3b,Ray Chapman 2b,Steve O'Neill c"
"05/06/1915   SLF  BRF  FL  6  SLF 12- Al Halt           9(B)946(2)63(1)/FTP              9*-4-6*-3*                  Jack Tobin rf,Al Bridwell 2b,Ernie Johnson ss,Babe Borton 1b"
"05/12/1915   NYA  CLE  AL  8  CLE 12- Fritz Maisel      3(B)3(1)6(2)/LTP                 3*-3*-6*                    Roy Wood 1b,Ray Chapman ss"
"06/26/1915 2 SLF  BLF  FL  8  SLF 1-3 Otto Knabe        1(B)5(3)3(1)/LTP                 1*-5*-3*                    Doc Crandall p,Charlie Deal 3b,Babe Borton 1b"
"07/24/1915   BUF  KCF  FL  10 KCF 1-3 Walter Blair      54(1)3/TP.3XH(32)                5-4*-3*-2*                  George Perring 3b,Duke Kenworthy 2b,George Stovall 1b,Ted Easterly c"
"07/24/1915 2 PHA  CLE  AL  9  CLE 12- Nap Lajoie        5(B)4(2)3(1)/LTP                 5*-4*-3*                    Walter Barbare 3b,Bill Wambsganss 2b,Jay Kirke 1b"
"07/26/1915   BRF  SLF  FL  7  BRF 1-3 Ernie Johnson     7/TP.1X3(7636253);3x3(3)         7*-6-3-6-2-5-3*-3*          Claude Cooper lf,Fred Smith ss,Hugh Bradley 1b,Fred Smith ss,Harry Smith c,Al Halt 3b,Hugh Bradley 1b"
"08/04/1915 2 NY1  SLN  NL  3  NY1 123 Tom Long          5(B)5(3)4(2)/LTP                 5*-5*-4*                    Hans Lobert 3b,Larry Doyle 2b"
"08/10/1915 2 SLA  BOS  AL  1  SLA 1-3 Dick Hoblitzell   7(B)3(1)3XH(32)/FTP              7*-3*-2*                    Burt Shotton lf,George Sisler 1b,Hank Severeid c"
"09/19/1915 1 BUF  CHF  FL  2  CHF 12- Roxey Roach       3(B)3(1)4(2)/LTP                 3*-3*-4*                    Joe Weiss 1b,Rollie Zeider 2b"
"04/29/1916   CHA  SLA  AL  7  CHA 12- Burt Shotton      6(B)6(2)3(1)/LTP                 6*-6*-3*                    Buck Weaver ss,Jack Fournier 1b"
"08/09/1916   WS1  SLA  AL  6  SLA 123 Patsy Gharrity    52(3)3(B)2X3(35)/GTP             5-2*-3*-5*                  Bobby Wallace 3b,Hank Severeid c,George Sisler 1b,Bobby Wallace 3b"
"08/12/1916   NY1  PHI  NL  3  PHI -23 Dave Robertson    6(B)5(3)6(2)/LTP                 6*-5*-6*                    Dave Bancroft ss,Bobby Byrne 3b,Dave Bancroft ss"
"08/26/1916   SLA  NYA  AL  3  NYA 123 Hank Severeid     62(3)3(B)2XH(32)/GTP             6-2*-3*-2*                  Roger Peckinpaugh ss,Walt Alexander c,Wally Pipp 1b,Walt Alexander c"
"04/30/1917   SLA  CLE  AL  6  SLA 12- Terry Turner      5(B)54(1)46(2)/FTP               5*-4*-6*                    Jimmy Austin 3b,Duke Kenworthy 2b,Doc Lavan ss"
"07/31/1917 2 BSN  CHN  NL  2  BSN 12- Chuck Wortman     4(B)43(1)36(2)/LTP               4*-3*-6*                    Ed Fitzpatrick 2b,Ed Konetchy 1b,Johnny Rawlings ss"
"08/23/1917   PHA  DET  AL  6  DET 12- Stuffy McInnis    6(B)64(2)43(1)/LTP               6*-4*-3*                    Donie Bush ss,Ralph Young 2b,George Burns 1b"
"08/28/1917   NYA  CHA  AL  3  NYA 123 Joe Jackson       5(B)5(3)54(2)/LTP                5*-5*-4*                    Frank Baker 3b,Joe Gedeon 2b"
"09/18/1917 2 BSN  PIT  NL  2  PIT 123 Chief Meyers      52(3)23(B)2XH(32)/GTP            5-2*-3*-2*                  Tony Boeckel 3b,Walter Schmidt c,Fritz Mollwitz 1b,Walter Schmidt c"
"04/28/1918   SLN  CIN  NL  1  CIN 1-3 Doug Baird        54(1)43(B)2XH(32)/GTP            5-4*-3*-2*                  Heinie Groh 3b,Lee Magee 2b,Sherry Magee 1b,Nick Allen c"
"05/26/1918   PHI  CIN  NL  8  PHI 12- Lee Magee         6(B)6(2)63(1)/LTP                6*-6*-3*                    Dave Bancroft ss,Fred Luderus 1b"
"06/01/1918   NYA  CHA  AL  8  NYA 123 Chick Gandil      5(B)54(2)43(1)/LTP               5*-4*-3*                    Frank Baker 3b,Del Pratt 2b,Wally Pipp 1b"
"07/25/1918 2 CIN  BSN  NL  3  CIN 12- Roy Massey        6(B)6(2)63(1)/LTP                6*-6*-3*                    Lena Blackburne ss,Hal Chase 1b"
"05/25/1919   WS1  CHA  AL  8  CHA 123 Howie Shanks      8(B)1X2(865)2X3(514)/FTP         8*-6-5*-1-4*                Happy Felsch cf,Swede Risberg ss,Buck Weaver 3b,Dickie Kerr p,Eddie Collins 2b"
"06/02/1919   SLA  CLE  AL  4  CLE 123 Wally Gerber      8(B)3-H,1X2(86454)2X3(464)/FTP   8*-6-4-5-4*-6-4*            Joe Wood cf,Ray Chapman ss,Bill Wambsganss 2b,Larry Gardner 3b,Bill Wambsganss 2b,Ray Chapman ss,Bill Wambsganss 2b"
"06/21/1919   SLA  BOS  AL  2  SLA 123 Herb Pennock      5(2)54(1)43(B)/GTP               5*-4*-3*                    Jimmy Austin 3b,Joe Gedeon 2b,George Sisler 1b"
"07/17/1919   SLN  PHI  NL  4  SLN -23 Ed Sicking        6(B)6(2)65(3)/LTP                6*-6*-5*                    Doc Lavan ss,Rogers Hornsby 3b"
"08/14/1919   NYA  DET  AL  9  DET 12- Muddy Ruel        6(B)6(2)63(1)/LTP                6*-6*-3*                    Donie Bush ss,Harry Heilmann 1b"
"08/31/1919   DET  SLA  AL  2  SLA 12- Donie Bush        4(B)6(2)3(1)/LTP                 4*-6*-3*                    Joe Gedeon 2b,Wally Gerber ss,George Sisler 1b"
"09/05/1919   BOS  PHA  AL  2  BOS 1-3 Terry Turner      1(B)13(1)35(3)/LTP               1*-3*-5*                    Sam Jones p,Stuffy McInnis 1b,Ossie Vitt 3b"
"09/12/1919 1 BRO  CHN  NL  6  CHN 12- Ed Konetchy       6(B)6(2)63(1)/LTP                6*-6*-3*                    Charlie Hollocher ss,Fred Merkle 1b"
"05/10/1920   PHA  BOS  AL  7  PHA 12- Eddie Foster      5(B)6(2)3(1)/LTP                 5*-6*-3*                    Jimmy Dykes 3b,Chick Galloway ss,Ivy Griffin 1b"
"05/22/1920   NY1  SLN  NL  10 SLN 1-3 Art Fletcher      9/FTP.3XH(92):1X1(23)            9*-2*-3*                    Joe Schultz rf,Verne Clemons c,Jack Fournier 1b"
"07/07/1920   PHI  PIT  NL  2  PIT 12- Mack Wheat        1(B)6(2)4(1)/FTP                 1*-6*-4*                    Wilbur Cooper p,Howdy Caton ss,George Cutshaw 2b"
"07/25/1920   BOS  NYA  AL  3  BOS 12- Del Pratt         4(B)4(2)3(1)/LTP                 4*-4*-3*                    Mike McNally 2b,Stuffy McInnis 1b"
"08/21/1920 1 PHI  PIT  NL  3  PIT 123 Bevo LeBourveau   1(B)5(3)3(1)/LTP                 1*-5*-3*                    Wilbur Cooper p,Bill McKechnie 3b,Possum Whitted 1b"
"09/12/1920   SLN  NY1  NL  7  NY1 123 Doc Lavan         3(B)3(1)6(2)/LTP                 3*-3*-6*                    George Kelly 1b,Dave Bancroft ss"
"10/10/1920   BRO  CLE  AL  5  CLE 12- Clarence Mitchell 4(B)4(2)4(1)/LTP                 4*-4*-4*              [1,3] Bill Wambsganss 2b"
"05/18/1921   BOS  DET  AL  4  DET 12- Everett Scott     4(B)4(1)6(2)/LTP                 4*-4*-6*                    Ralph Young 2b,Donie Bush ss"
"06/10/1921   SLA  BOS  AL  7  SLA 12- Shano Collins     5(B)54(2)43(1)/TP                5*-4*-3*                    Frank Ellerbee 3b,Laymon Lamb 2b,George Sisler 1b"
"06/13/1921   NY1  SLN  NL  8  NY1 12- Rogers Hornsby    4(B)3(1)6(2)/LTP                 4*-3*-6*                    John Monroe 2b,George Kelly 1b,Pat Patterson ss"
"07/15/1921   WS1  CHA  AL  7  CHA 12- Eric Erickson     3(B)3(1)36(2)/TP                 3*-3*-6*                    Earl Sheely 1b,Ernie Johnson ss"
"07/27/1921   PHI  SLN  NL  5  SLN 123 Goldie Rapp       6(B)4(2)3(1)/LTP                 6*-4*-3*                    Rogers Hornsby ss,Specs Toporcher 2b,Jack Fournier 1b"
"08/30/1921   CHN  NY1  NL  3  CHN 12- Art Nehf          4(B)46(2)63(1)/TP                4*-6*-3*                    Zeb Terry 2b,Charlie Hollocher ss,Ray Grimes 1b"
"08/30/1921 2 CIN  BSN  NL  6  BSN 123 Lew Fonseca       46(1)3/TP.2XH(352)               4-6*-3*-5-2*                Hod Ford 2b,Walter Barbare ss,Fred Nicholson 1b,Tony Boeckel 3b,Mickey O'Neil c"
"09/01/1921   NY1  BRO  NL  5  BRO 123 Earl Smith        5(B)5(3)6(2)/LTP                 5*-5*-6*                    Jimmy Johnston 3b,Ivy Olson ss"
"09/14/1921   SLA  WS1  AL  4  WS1 12- George Sisler     6(B)64(2)43(1)/TP                6*-4*-3*                    Donie Bush ss,Bucky Harris 2b,Joe Judge 1b"
"09/27/1921 2 BRO  BSN  NL  4  BSN 12- Zack Taylor       6(B)6(2)3(1)/LTP                 6*-6*-3*                    Hod Ford ss,Walter Holke 1b"
